Exajoules,,Oil(2023),Natural Gas(2023),Coal(2023),Nuclear energy(2023),Hydro electric(2023),Renew- ables(2023),Total(2023,Oil(2024),Natural Gas(2024),Coal(2024),Nuclear energy(2024),Hydro electric(2024),Renew- ables(2024),Total(2024)
,,,,,,,,,,,,,,,
Canada,,4.30,4.47,0.37,0.79,3.37,0.69,14.00,4.35,4.63,0.29,0.76,3.20,0.76,13.99
Mexico,,3.57,3.62,0.28,0.11,0.19,0.49,8.26,3.60,3.61,0.28,0.11,0.22,0.49,8.32
US,,35.88,31.98,8.19,7.32,2.26,8.74,94.38,35.82,32.48,7.90,7.36,2.22,9.72,95.50
Total North America,,43.75,40.07,8.84,8.22,5.82,9.92,116.63,43.77,40.72,8.48,8.23,5.64,10.97,117.81
,,,,,,,,,,,,,,,
Argentina,,1.33,1.62,0.05,0.08,0.29,0.24,3.62,1.22,1.64,0.04,0.09,0.28,0.27,3.54
Brazil,,5.13,1.08,0.57,0.13,3.98,2.98,13.87,5.14,1.13,0.53,0.14,3.85,3.32,14.11
Chile,,0.81,0.27,0.14,-,0.22,0.35,1.79,0.86,0.26,0.13,-,0.25,0.38,1.87
Colombia,,0.92,0.47,0.20,-,0.56,0.07,2.22,0.91,0.48,0.22,-,0.51,0.09,2.22
Ecuador,,0.57,0.02,^,-,0.24,0.01,0.84,0.59,0.02,^,-,0.21,0.01,0.83
Peru,,0.52,0.36,0.03,-,0.27,0.06,1.24,0.54,0.41,0.03,-,0.30,0.08,1.35
Trinidad & Tobago,,0.07,0.52,-,-,-,^,0.59,0.07,0.51,-,-,-,^,0.58
Venezuela,,0.76,1.07,0.01,-,0.68,^,2.52,0.68,1.14,0.01,-,0.68,^,2.51
Other S. & Cent. America,,2.67,0.41,0.18,-,0.82,0.36,4.44,2.78,0.49,0.17,-,0.79,0.37,4.60
Total S. & Cent. America,,12.78,5.82,1.17,0.21,7.06,4.06,31.11,12.78,6.08,1.12,0.23,6.86,4.52,31.60
,,,,,,,,,,,,,,,
Austria,,0.48,0.25,0.10,-,0.38,0.21,1.42,0.47,0.25,0.10,-,0.42,0.25,1.48
Belgium,,1.15,0.50,0.10,0.30,^,0.29,2.34,1.18,0.48,0.11,0.28,^,0.27,2.32
Czech Republic,,0.39,0.24,0.45,0.27,0.02,0.11,1.48,0.41,0.24,0.36,0.27,0.02,0.12,1.41
Finland,,0.32,0.04,0.09,0.31,0.14,0.30,1.20,0.31,0.05,0.08,0.29,0.13,0.35,1.20
France,,2.80,1.23,0.18,3.03,0.52,0.91,8.66,2.79,1.15,0.18,3.40,0.66,0.89,9.07
Germany,,4.20,2.62,1.75,0.06,0.19,2.62,11.44,4.24,2.83,1.58,-,0.21,2.65,11.50
Greece,,0.62,0.19,0.05,-,0.04,0.20,1.10,0.62,0.24,0.04,-,0.03,0.22,1.16
Hungary,,0.34,0.30,0.04,0.14,^,0.10,0.92,0.34,0.30,0.03,0.14,^,0.12,0.94
Italy,,2.57,2.11,0.19,-,0.38,0.80,6.05,2.57,2.12,0.10,-,0.51,0.80,6.11
Netherlands,,1.67,0.93,0.16,0.04,^,0.59,3.38,1.56,0.94,0.17,0.03,^,0.63,3.34
Norway,,0.39,0.14,0.03,-,1.28,0.15,1.99,0.39,0.12,0.03,-,1.30,0.16,2.00
Poland,,1.40,0.70,1.48,-,0.02,0.48,4.08,1.42,0.76,1.33,-,0.02,0.53,4.05
Portugal,,0.45,0.16,^,-,0.11,0.23,0.96,0.44,0.13,^,-,0.14,0.26,0.97
Romania,,0.47,0.33,0.11,0.10,0.17,0.11,1.29,0.50,0.34,0.09,0.10,0.13,0.13,1.28
Spain,,2.51,1.06,0.11,0.51,0.23,1.23,5.65,2.67,1.02,0.10,0.49,0.32,1.25,5.85
Sweden,,0.47,0.03,0.07,0.43,0.62,0.54,2.16,0.49,0.03,0.07,0.45,0.60,0.55,2.20
Switzerland,,0.39,0.12,^,0.21,0.35,0.08,1.14,0.39,0.12,^,0.21,0.42,0.08,1.22
Turkey,,2.32,1.73,1.68,-,0.60,0.73,7.06,2.37,1.83,1.80,-,0.70,0.84,7.54
Ukraine,,0.39,0.67,0.39,0.47,0.12,0.08,2.12,0.40,0.72,0.39,0.47,0.12,0.07,2.16
United Kingdom,,2.67,2.29,0.18,0.36,0.05,1.39,6.95,2.68,2.23,0.17,0.36,0.05,1.48,6.97
Other Europe,,2.59,0.96,1.02,0.36,0.79,0.81,6.52,2.63,0.98,0.91,0.36,0.71,0.88,6.46
Total Europe,,28.59,16.60,8.18,6.60,6.01,11.94,77.92,28.85,16.87,7.62,6.85,6.50,12.54,79.24
,,,,,,,,,,,,,,,
Azerbaijan,,0.26,0.50,^,-,0.02,^,0.78,0.26,0.46,^,-,0.03,0.01,0.75
Belarus,,0.33,0.60,0.04,0.11,^,0.01,1.09,0.33,0.60,0.04,0.14,^,0.01,1.13
Kazakhstan,,0.67,0.72,1.52,-,0.08,0.05,3.05,0.69,0.75,1.50,-,0.10,0.06,3.10
Russian Federation,,7.48,16.32,3.82,1.95,1.88,0.10,31.54,7.66,17.17,3.75,1.93,1.96,0.10,32.58
Turkmenistan,,0.31,1.27,-,-,^,^,1.58,0.31,1.03,-,-,^,^,1.34
Uzbekistan,,0.24,1.69,0.16,-,0.07,0.01,2.16,0.24,1.97,0.18,-,0.08,0.05,2.50
Other CIS,,0.20,0.20,0.08,0.02,0.32,0.01,0.84,0.20,0.20,0.09,0.03,0.34,0.01,0.86
Total CIS,,9.48,21.31,5.62,2.08,2.37,0.18,41.04,9.69,22.18,5.55,2.09,2.51,0.24,42.26
,,,,,,,,,,,,,,,
Iran,,3.71,8.88,0.07,0.06,0.21,0.02,12.95,3.76,8.83,0.07,0.07,0.18,0.02,12.92
Iraq,,1.88,0.69,-,-,0.01,^,2.58,1.92,0.71,-,-,0.01,^,2.65
Israel,,0.43,0.38,0.13,-,^,0.08,1.02,0.41,0.37,0.11,-,^,0.10,1.00
Kuwait,,0.94,0.85,^,-,-,^,1.80,1.00,0.89,^,-,-,^,1.89
Oman,,0.46,1.09,^,-,-,0.02,1.57,0.44,1.14,^,-,-,0.02,1.61
Qatar,,0.64,1.58,^,-,-,0.02,2.23,0.66,1.67,^,-,-,0.02,2.35
Saudi Arabia,,7.25,4.22,0.01,-,-,0.04,11.52,7.37,4.37,0.01,-,-,0.09,11.85
United Arab Emirates,,2.20,2.41,0.10,0.31,-,0.14,5.16,2.29,2.57,0.11,0.36,-,0.15,5.48
Other Middle East,,1.07,0.79,0.04,-,0.01,0.08,2.00,1.07,0.77,0.05,-,0.01,0.09,2.00
Total Middle East,,18.57,20.89,0.35,0.37,0.24,0.41,40.83,18.94,21.33,0.35,0.43,0.20,0.49,41.75
,,,,,,,,,,,,,,,
Algeria,,0.86,1.95,0.01,-,^,0.01,2.82,0.90,1.82,0.01,-,^,0.01,2.74
Egypt,,1.49,2.16,0.05,-,0.14,0.10,3.94,1.58,2.15,0.07,-,0.13,0.11,4.05
Morocco,,0.57,0.03,0.29,-,^,0.08,0.98,0.61,0.03,0.27,-,^,0.09,0.99
South Africa,,1.04,0.17,3.44,0.07,0.02,0.18,4.92,0.96,0.17,3.51,0.07,0.01,0.17,4.90
Other Africa,,4.95,2.13,0.46,-,1.40,0.18,9.11,5.10,2.23,0.45,-,1.44,0.20,9.41
Total Africa,,8.91,6.45,4.25,0.07,1.56,0.54,21.78,9.16,6.41,4.30,0.07,1.58,0.58,22.10
,,,,,,,,,,,,,,,
Australia,,2.17,1.39,1.51,-,0.14,0.76,5.97,2.23,1.33,1.52,-,0.12,0.81,6.02
Bangladesh,,0.50,1.01,0.29,-,0.01,0.01,1.82,0.58,0.98,0.32,-,0.01,0.01,1.90
China,,32.73,14.57,90.65,3.90,11.46,16.14,169.46,32.27,15.64,92.16,4.03,12.62,19.64,176.35
China Hong Kong SAR,,0.57,0.17,0.15,-,-,0.01,0.90,0.65,0.20,0.13,-,-,0.01,0.98
India,,10.58,2.23,22.09,0.43,1.40,2.24,38.98,10.90,2.53,22.97,0.49,1.46,2.46,40.81
Indonesia,,3.09,1.56,4.32,-,0.23,0.83,10.03,3.16,1.70,4.72,-,0.25,0.91,10.75
Japan,,6.78,3.30,4.54,0.70,0.70,1.49,17.49,6.42,3.27,4.53,0.76,0.74,1.54,17.26
Malaysia,,1.76,1.58,1.03,-,0.30,0.10,4.77,1.80,1.66,1.08,-,0.32,0.11,4.98
New Zealand,,0.32,0.14,0.04,-,0.25,0.12,0.86,0.32,0.11,0.05,-,0.22,0.13,0.84
Pakistan,,0.81,1.36,0.47,0.20,0.36,0.06,3.26,0.83,1.33,0.41,0.20,0.36,0.06,3.20
Philippines,,0.92,0.12,0.89,-,0.10,0.17,2.19,0.96,0.12,0.98,-,0.10,0.18,2.35
Singapore,,3.09,0.44,0.01,-,-,0.02,3.57,3.29,0.47,0.01,-,-,0.02,3.79
South Korea,,5.36,2.16,3.04,1.62,0.03,0.59,12.81,5.54,2.29,2.85,1.69,0.04,0.60,13.02
Sri Lanka,,0.22,-,0.06,-,0.05,0.02,0.36,0.23,-,0.07,-,0.06,0.03,0.40
Taiwan,,1.63,1.01,1.49,0.16,0.04,0.20,4.52,1.61,1.07,1.43,0.11,0.04,0.26,4.51
Thailand,,2.30,1.70,0.60,-,0.06,0.33,5.00,2.38,1.74,0.61,-,0.06,0.33,5.11
Vietnam,,1.30,0.26,2.28,-,0.75,0.36,4.95,1.40,0.22,2.50,-,0.83,0.37,5.31
Other Asia Pacific,,1.21,0.40,1.27,-,0.89,0.03,3.80,1.26,0.35,1.28,-,0.96,0.04,3.90
Total Asia Pacific,,75.34,33.41,134.74,7.01,16.78,23.48,290.75,75.85,35.02,137.63,7.28,18.19,27.52,301.49
,,,,,,,,,,,,,,,
Total World,,197.42,144.54,163.15,24.57,39.84,50.54,620.06,199.05,148.60,165.06,25.19,41.491,56.86,636.25
of which: OECD,,87.10,63.35,25.39,16.43,13.01,24.99,230.26,87.24,64.22,24.40,16.82,13.41,26.80,232.88
                 Non-OECD,,110.32,81.20,137.76,8.14,26.84,25.55,389.80,111.81,84.38,140.66,8.37,28.08,30.06,403.37
                 European Union ,,21.68,11.42,5.34,5.56,3.08,9.43,56.50,21.86,11.63,4.71,5.81,3.43,9.81,57.25
